Submission Time,Full name,Marital status,Gender,Religion,Date of birth,Current address,Highest formal of education,Faculty/Major,School/University name,Email address,WhatsApp number,Desired positions,Current status,Experience,Applied date,Portfolio (2MB),Upload CV (2MB),Portfolio link,Expected salary (IDR),Where did you find this job?,Consent,Skills
"Jan 23, 2025 @ 1:42 PM",Yudha Eko Pratama,Married,Male,Moslem,12/9/1997,"Jalan. Pondok Pakulonan, Blok N-2, No.5",SMA/SMK,Teknik Informatika,SMK Muhammadiyah 02 Pekanbaru,asdyuda@ymail.com,628117677977,Technical Support Engineer,Fulltime,3-5 years,01/23/2025,,https://s2i.co.id/wp-content/uploads/forminator/9629_3ddea41ee07d06d34a78a62907d99d23/uploads/OlXg6kiNuEdn-Yudha-Eko-Resume-Final-1.pdf,,6500000,Thank you for the question. I found this job opportunity on Indeed,checked,"[ ""SQL"", ""Amazon Cloud Watch"", ""Zendesk"", ""Jira"", ""MongoDB"", ""Postman"", ""FileZila"", ""Quality Assurance"", ""Communication"", ""Team Work"", ""Cross – Team"", ""Collaboration"" ]"
"Jan 23, 2025 @ 12:54 PM",Renaldi Edi Saputra,Married,Male,Moslem,03/30/1995,Kp. Sindang Sana Jl. Utama III RT 004 RW 003 Neglasari Kota Tangerang,S1/D4,Sistem Komputer,STMIK Raharja,renaldiedisaputra7@gmail.com,89507958371,Technical Support Engineer,Fulltime,3-5 years,01/23/2025,,https://s2i.co.id/wp-content/uploads/forminator/9629_3ddea41ee07d06d34a78a62907d99d23/uploads/P8OqCOQqS2zH-CV-Renaldi-Edi-Saputra.pdf,http://linkedin.com/in/renaldiedisaputra,8000000,Glints,checked,"[ ""Network Performance Optimization"", ""Mikrotik Configuration"", ""Asset Management"", ""SDWAN"", ""Troubleshoot Network"", ""Google Workspace"", ""Technical Support"", ""IT Operation"", ""Help Desk Support"", ""Router and Switch Configuration"", ""Costumer Experience"", ""Analytical and Problem Solving Skill"", ""Network Monitoring Tools"" ],"
"Jan 23, 2025 @ 12:38 PM",Santoso Gunawan,Single,Male,Protestant,10/21/1997,"Perumahan Batu Ceper Permai Blok L.16 Tangerang, Banten",S1/D4,Information Systems,Universitas Bina Nusantara,Santogunawan886@yahoo.co.id,6281218285179,Technical Support Engineer,Unemployed,1-3 years,01/15/2025,,https://s2i.co.id/wp-content/uploads/forminator/9629_3ddea41ee07d06d34a78a62907d99d23/uploads/FqaFzfXE4I5s-CV.pdf,,5500000,website jobseeker (Glints),checked,"[ ""Teamwork"", ""Time Management"", ""Communication Skill"", ""Problem Solving"", ""Customer Services"",""HTML"", ""CSS"", ""Java Script"", ""Bootstrap"", ""Git"", ""SQL"", ""Adobe Photoshop"", ""FTP"", ""Microsoft office (Word, Excel, Power Point)"", ""Software installation"", ""Technical Troubleshooting""]"
"Jan 22, 2025 @ 10:08 PM",Takdir Firmansyah,Single,Male,Moslem,10/3/1992,Kp. Caringin Lebak Rt. 07/04 Desa. Caringin Kulon Kec. Caringin Sukabumi Jawa Barat,S1/D4,Informatics,STMIK Nusa Mandiri Sukabumi,takdirfirmansyah03@gmail.com,85723412218,Technical Support Engineer,Unemployed,More than 5 years,01/22/2025,,https://s2i.co.id/wp-content/uploads/forminator/9629_3ddea41ee07d06d34a78a62907d99d23/uploads/CrviiwUkd0Tg-CV-TakdirFirmansyah.pdf,,8000000,Telegram Group,checked,"[ ""Web Programming (PHP, HTML, CSS)"", ""Hardware, Software, Jaringan Komputer"", ""Database Administrator (MySQL)"", ""Office, Windows, Photoshop, Premiere"", ""Manajemen waktu"", ""Pemecahan masalah"", ""Berfikir kritis"", ""Komunikasi yang efektif"" ]"
"Jan 21, 2025 @ 5:14 AM",Muhammad Rizal,Single,Male,Moslem,4/11/2002,Desa Tambakrejo RT06 RW04 Kecamatan Pemalang Kabupaten Pemalang Jawa Tengah,S1/D4,Teknik Informatika,STMIK IKMI Cirebon,muhammadrizal087733521@gmail.com,85640199864,Technical Support Engineer,Unemployed,Fresh graduate,01/21/2025,,https://s2i.co.id/wp-content/uploads/forminator/9629_3ddea41ee07d06d34a78a62907d99d23/uploads/3ZkSaz1zWfBY-CV-Muhammad-Rizal.pdf,,5000000,Indeed,checked,
"Jan 20, 2025 @ 12:56 PM",Chello Imanuel,Single,Male,Protestant,2/6/2001,"Perumahan Villa Tangerang Indah, Jl sangga buana 1 blok CA 10 no 1A, Periuk, Gebang raya, Kota tangerang, Indonesia, 15132",S1/D4,Teknik Informatika,Universitas Buddhi Dharma,imanuelchello@gmail.com,82298322057,Technical Support Engineer,Fulltime,1-3 years,01/20/2025,,https://s2i.co.id/wp-content/uploads/forminator/9629_3ddea41ee07d06d34a78a62907d99d23/uploads/G2V0NH3oulNe-CV-Chello.pdf,,5500000,Glints,checked,"[ ""Communication Skills"", ""Leadership"", ""Teamwork"", ""Adaptability"", ""Creativity"", ""Time Management"", ""Empathy"",""Windows"", ""Anydesk,TeamViewer"", ""MySQL,Firebase"", ""Putty,Mikrotik"", ""Ms,Office & Google Workspace"", ""Tang crimping, Kabel ethernet"", ""Ubiquiti,Mikrotik"", ""Sharing Printer"",  ""Troubleshooting PC hardware"", ""Installasi OS Windows, Mikrotik"", ""Coding (Java, PHP, .NET, Phyton)"", ""Konfigurasi Mikrotik"", ""Installasi OS Windows, Linux (Debian)"", ""Crimping Cable LAN"", ""Konfigurasi Mikrotik & Hub/Switch"", ""Virtualbox (Vbox"",  ""Customer Service"", ""Sound System (Mixer)"", ""Documentation Skills"", ""(Mirrorless / DSLR)"", ""Editing (Canva,Filmora)""]"
"Apr 03, 2025 @ 05:58 AM",Faizah Mahendra,Married,Female,Catholic,04/11/1997,"Gg. Gedebage Selatan No. 522, Bandung, SS 90393",SMA/SMK,Sistem Informasi,Universitas Indonesia,candra96@perum.int,816619639042,Data Analyst,Unemployed,1-3 years,05/29/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4975250,Telegram Group,checked,"['Azure', 'React', 'AWS', 'Figma']"
"Feb 22, 2025 @ 09:15 PM",T. Daruna Rahimah,Single,Female,Catholic,05/06/1999,"Jl. Kutisari Selatan No. 13, Samarinda, Sulawesi Tengah 51414",S1/D4,Sistem Komputer,Universitas Gadjah Mada,cahyadi13@hotmail.com,792120975012,IT Support,Unemployed,3-5 years,06/09/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4521607,LinkedIn,checked,"['Node.js', 'Docker', 'AWS']"
"Mar 12, 2025 @ 03:25 PM",Erik Riyanti,Single,Female,Christian,08/06/1992,"Jalan Pasir Koja No. 3, Jayapura, SG 62067",SMA/SMK,Manajemen Informatika,Universitas Gadjah Mada,kamidin27@hotmail.com,524518581974,DevOps Engineer,Unemployed,Fresh graduate,06/06/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,http://www.cv.or.id/,9083880,LinkedIn,checked,"['Kubernetes', 'Python', 'JavaScript', 'Networking', 'Azure', 'React']"
"Jan 18, 2025 @ 06:15 AM",Elvina Sinaga,Single,Female,Buddhist,03/26/1993,"Jalan Yos Sudarso No. 0, Surabaya, NB 43989",SMA/SMK,Informatics,Universitas Gunadarma,prabaprasetyo@hotmail.com,617566169016,IT Support,Intern,3-5 years,05/31/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8907723,Website,checked,"['Networking', 'HTML', 'Linux', 'AWS']"
"May 27, 2025 @ 05:56 AM",Tantri Hakim,Single,Female,Buddhist,04/03/1992,"Gang M.H Thamrin No. 39, Bau-Bau, PB 28808",S2,Teknik Informatika,Institut Teknologi Bandung,harsanaanggraini@hotmail.com,469611861229,Frontend Developer,Fulltime,Fresh graduate,05/29/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,http://www.pd.sch.id/,8932959,Indeed,checked,"['GCP', 'Node.js', 'Python', 'Docker', 'React', 'SQL']"
